sensor_id,sensor_name,sensor_latitude,sensor_longitude,area_type,measurement_timestamp,pollutant,pollutant_value,pollutant_unit,date,hour,is_weekend,season,timestamp_rounded,weather_timestamp,temperature_c,humidity_percent,pressure_hpa,wind_speed_ms,wind_direction_deg,precipitation_mm,weather_condition,visibility_km,road_edges,road_length_km,industrial_area,commercial_area,residential_area,green_space,water_body,educational,medical,transportation,building_density,aqi,pollution_category,traffic_influence,month,day_of_week,is_rush_hour,pollution_source
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,PM2.5,0.8848854466523531,μg/m³,2025-08-27,0.0,0.0,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,-0.4524552420035365,0.383259897719961,-1.389685926141942,-0.2537354629803465,48.0,-0.6735054380018448,Partly Cloudy,0.8875776572226849,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,200.0,Unhealthy,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,PM10,0.3483764800964722,μg/m³,2025-08-27,0.0,0.0,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,-0.4524552420035365,0.383259897719961,-1.389685926141942,-0.2537354629803465,48.0,-0.6735054380018448,Partly Cloudy,0.8875776572226849,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50.0,Good,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,NO2,-0.1672715134991312,μg/m³,2025-08-27,0.0,0.0,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,-0.4524552420035365,0.383259897719961,-1.389685926141942,-0.2537354629803465,48.0,-0.6735054380018448,Partly Cloudy,0.8875776572226849,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50.0,Good,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,CO,-1.1124792601641202,mg/m³,2025-08-27,0.0,0.0,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,-0.4524552420035365,0.383259897719961,-1.389685926141942,-0.2537354629803465,48.0,-0.6735054380018448,Partly Cloudy,0.8875776572226849,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50.0,Good,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,SO2,-0.4499230062848692,μg/m³,2025-08-27,0.0,0.0,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,-0.4524552420035365,0.383259897719961,-1.389685926141942,-0.2537354629803465,48.0,-0.6735054380018448,Partly Cloudy,0.8875776572226849,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50.0,Good,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 00:00:00,O3,-0.4252424185572164,μg/m³,2025-08-27,0.0,0.0,Summer,2025-08-27 00:00:00,2025-08-27 00:00:00,-0.4524552420035365,0.383259897719961,-1.389685926141942,-0.2537354629803465,48.0,-0.6735054380018448,Partly Cloudy,0.8875776572226849,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50.0,Good,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,PM2.5,1.9367485902832708,μg/m³,2025-08-27,4.0,0.0,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,-0.4848441636820556,1.2923097283295304,-1.389685926141942,1.2038937924386668,195.0,3.5068731426992605,Fog,0.0975171324104046,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,200.0,Unhealthy,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,PM10,2.362782545105849,μg/m³,2025-08-27,4.0,0.0,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,-0.4848441636820556,1.2923097283295304,-1.389685926141942,1.2038937924386668,195.0,3.5068731426992605,Fog,0.0975171324104046,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,100.0,Moderate,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,NO2,0.067781702954705,μg/m³,2025-08-27,4.0,0.0,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,-0.4848441636820556,1.2923097283295304,-1.389685926141942,1.2038937924386668,195.0,3.5068731426992605,Fog,0.0975171324104046,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50.0,Good,Low,8.0,2.0,0.0,Natural
sensor_01,Pune_City_Center,18.5204,73.8567,urban,2025-08-27 04:00:00,CO,-1.09837606717689,mg/m³,2025-08-27,4.0,0.0,Summer,2025-08-27 04:00:00,2025-08-27 04:00:00,-0.4848441636820556,1.2923097283295304,-1.389685926141942,1.2038937924386668,195.0,3.5068731426992605,Fog,0.0975171324104046,6377.0,436.5764823559367,5.0,25.0,36.0,68.0,20.0,83.0,166.0,38.0,10774.0,50.0,Good,Low,8.0,2.0,0.0,Natural
